country,"Unemployment, total (% of total labor force)",Average annual working hours per worker,Gini index (World Bank estimate),"Health expenditure, total (% of GDP)",Life satisfaction in Cantril Ladder (World Happiness Report 2021),UIS: Percentage of population age 25+ with at least completed post-secondary education (ISCED 4 or higher). Total,Single (never married),Married,Widowed and not remarried,Married but separated
Sri Lanka,,0.4313315556802013,,,,,0.08009899814139926,0.2239432532596098,-0.5533026065533942,0.04438570726543877
Suriname,-0.5908316095897096,,,-0.8091770708002002,,,0.23445318161007392,0.26498056937763603,-0.4673566880212078,
Sweden,-0.03727377104151157,-0.6097315471488955,-0.7580522420625806,-0.6665874932329026,-0.033615419522173035,-0.9671223813729094,-0.33580278449285283,0.5994281545886049,-0.26561288214100515,
Switzerland,-0.7616999307703102,0.8810706166357581,0.49764288949176494,-0.8849977179108782,,,-0.5409377057205893,0.6849495209465037,-0.11957215001953173,0.5602972782387514
Thailand,0.5663742261510228,0.03873222038318346,0.1765432363406484,-0.42126087643059196,0.11910826346730868,,0.22896925733146947,0.14686066457499028,-0.5610891593134667,-0.1448650189549659
Trinidad and Tobago,-0.3023712763265329,-0.07680558436986032,,-0.5154754245847483,,,0.19847876059136316,0.09411279687300071,-0.49045876168201014,-0.08472643064583078
Turkey,,,,,,,0.1775553191780288,0.20096909796190662,-0.5446025514159244,
Turkmenistan,0.5371423636368873,,,0.6360589114450533,,,,,,
Ukraine,0.24221659020232697,,0.8752143347517165,-0.4834341661767234,,,-0.3535559864516716,,-0.21944376497042178,
United Arab Emirates,,,,,,,,,,
United Kingdom,0.608574640232207,0.7734640707332366,-0.1928553708412215,-0.28656322195547224,-0.5102964878317685,,,,,
United States,0.5788522406159102,-0.6273990752847337,-0.06411706727997403,0.7140119645468985,-0.6753158774449659,,,,,
Uruguay,0.18432209943367486,-0.7465362184924571,0.1262827439210203,-0.4607390796828501,,,-0.2399798418849784,0.49682680109713645,-0.30569687172179033,0.14005386124860753
Uzbekistan,0.41337135180064455,,,0.34159029612486363,,,,,,
